Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
C1,0805,1,2.2n,
"C10, C11, C176",0805,3,100n/0.7mm,
C100,0805,1,10µ/25V,
"C101, C102, C103, C107, C139, C14, C140, C16, C167, C168, C178, C25, C53, C55, C74, C75, C82, C83, C87, C88, C96",0805,21,100n,
C104,0805,1,10n,
"C105, C108, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C133, C135, C136, C137, C138, C141, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C161, C163, C164, C165, C166, C169, C171, C172, C173, C174, C175, C195, C196, C197, C203, C204, C205, C211, C212, C213, C219, C220, C221, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C40, C41, C42, C43, C44, C46, C47, C49, C50, C51, C52, C54, C56, C57, C58, C6, C60, C61, C62, C63, C65, C66, C67, C69, C70, C71, C72, C73, C76, C78, C79, C8, C80, C85, C93, C94",0805,108,1µ,
C106,1206,1,22µ/16V,
"C109, C110, C179, C18, C180, C19",0805,6,1n/0.7mm,
"C111, C191, C192, C193, C20, C23, C45, C81, C89",1210,9,22µ/25V,
"C112, C117, C181",0805,3,3.3n/25V,
"C113, C118, C182",0805,3,1µ/25V,
"C114, C115, C116",0603,3,22p,
"C119, C120, C132, C134, C15, C160, C162, C17, C183, C64, C68",0805,11,10µ,
"C12, C13, C177",0805,3,2.2µ,
"C142, C170, C184, C185, C21, C22, C24, C39, C59, C77",1210,10,100µ/6.3V,
"C186, C187, C188, C189, C194, C48, C84, C86, C90, C91, C95, C97, C98, C99",1210,14,330µ/4V,
"C190, C92",CP_Elec_8x10,2,220µ/25V,
"C2, C4, C9",0805,3,1n,
C3,0603,1,12p,
C5,0805,1,330n,
C7,0805,1,4.7µ,
D1,D_SMB,1,SMBJ12A,
D2,D_SOD-128,1,"PMEG4030EP,115",
D3,D_SOD-123,1,1N5819,
F1,fuseholder_littlefuse_blok,1,12A,
J1,Barrier Terminal 01x04,1,Conn_01x04,
"L1, L2, L4",IFLR-4031GC-01-8x10,3,220nH,
L3,L_Taiyo-Yuden_NR-50xx,1,4.7µH/2.3A/2.7A,
"M1, M2",FanPinHeader_1x04_P2.54mm_Vertical,2,Fan_4pin,
R1,0805,1,16.5k,
"R10, R15, R17, R20, R22, R31, R36, R37, R38, R41, R43, R46, R8",0805,13,10k,
"R11, R18, R23, R44, R49, R50, R51",0805,7,2k,
"R12, R13",0805,2,2.2R/0.5W,
"R14, R16, R19, R21, R24, R42, R45, R9",0805,8,1k,
R2,0805,1,24.3k,
"R25, R26, R27, R28, R47, R48",0805,6,1R/0.5W,
"R29, R30",0805,2,0,
R3,0805,1,66.5k,
R32,0805,1,84.5k,
"R33, R35",0805,2,2.7k,
R34,0805,1,16.2k,
"R39, R40",0805,2,100,
R4,0805,1,100k,
R5,0805,1,121k,
R6,0805,1,8.06k,
R7,0805,1,2.55k,
"U10, U11, U12, U13, U14, U15, U2, U9",bm1368-package-modified,8,BM1368_mode1,
"U16, U4, U5",CSD95472-SON-5x6,3,CSD95472Q5MC,
U3,Texas_RHA0040B_VQFN-40-1EP_6x6mm_P0.5mm_EP4.15x4.15mm_ThermalVias,1,TPS53647,
U30,T-Display-S3,1,T-Display-S3,
U32,MSOP-10_3x3mm_P0.5mm,1,EMC2302-1,
U33,VSSOP-8_2.3x2mm_P0.5mm,1,TXU0102-DCU,
U35,TSSOP-14-1EP_4.4x5mm_P0.65mm,1,TXU0304PW,
U36,SOT-23-5,1,MCP1824T-1802E,
"U37, U38",TMP1075-DRL,2,TMP1075,
U6,SOT-23-6,1,AP3211,
U7,SOT-23-5,1,MCP1824T-0802E,
U8,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,25MHz,
